iter	Logloss
0	0.6914958902
1	0.6807657691
2	0.6754189387
3	0.6596540832
4	0.6563084824
5	0.6533486048
6	0.6478790553
7	0.6438765964
8	0.634017692
9	0.6261684026
10	0.6140352758
11	0.6030206123
12	0.6020977339
13	0.6002658318
14	0.590997846
15	0.5903649824
16	0.5855634604
17	0.5828883351
18	0.579608993
19	0.578902897
20	0.5711749767
21	0.5707537921
22	0.5687783932
23	0.5594090402
24	0.5563331164
25	0.5500973473
26	0.5472300705
27	0.5452576429
28	0.5411460263
29	0.5400349899
30	0.5348174908
31	0.5322733056
32	0.5275503727
33	0.5252587184
34	0.5202121076
35	0.518460699
36	0.5162534075
37	0.5129092387
38	0.5127758589
39	0.5126504104
40	0.5118873989
41	0.5117765413
42	0.5102399825
43	0.5101052358
44	0.5094393255
45	0.5087459846
46	0.5078502454
47	0.5077667548
48	0.5076959579
49	0.5049246811
50	0.5034214455
51	0.5026087704
52	0.4974962996
53	0.4961029799
54	0.4932148415
55	0.4928377324
56	0.4927465653
57	0.4907000289
58	0.4904788586
59	0.4903723945
60	0.4902043751
61	0.4873774502
62	0.486779891
63	0.4857536801
64	0.4836247136
65	0.4834128924
66	0.4815510497
67	0.481529414
68	0.4808829363
69	0.4780577935
70	0.4777315277
71	0.4777148374
72	0.4760740586
73	0.4752465742
74	0.4744190561
75	0.474402691
76	0.4739204581
77	0.473583449
78	0.4733076969
79	0.4722997357
80	0.4693390524
81	0.4664443246
82	0.4660644356
83	0.4658602792
84	0.4658535595
85	0.4658472376
86	0.4650101218
87	0.4646386748
88	0.4636933276
89	0.4630216148
90	0.4604738684
91	0.460469696
92	0.4594936455
93	0.4577537324
94	0.4567995596
95	0.45642431
96	0.455878783
97	0.4553657946
98	0.455128168
99	0.4546531055
100	0.4545351895
101	0.454520432
102	0.4545185321
103	0.4545148391
104	0.451890031
105	0.4506444036
106	0.4504460714
107	0.4504440242
108	0.4504420981
109	0.4504402877
110	0.4499628443
111	0.4497254341
112	0.4494516593
113	0.4494503817
114	0.4467411956
115	0.4458421346
116	0.444774612
117	0.4446645294
118	0.4445850756
119	0.4441292151
120	0.4440200404
121	0.4438708969
122	0.4437736802
123	0.4434170579
124	0.4433007711
125	0.4422224682
126	0.4418271291
127	0.4418267661
128	0.4413950985
129	0.4411103952
130	0.4409471906
131	0.4406310908
132	0.4406308502
133	0.4406306236
134	0.4405077857
135	0.4404217555
136	0.4404215686
137	0.4404214057
138	0.440384023
139	0.4403838664
140	0.4399215554
141	0.4399215325
142	0.4397060908
143	0.439706084
144	0.4396387283
145	0.4395439931
146	0.4395439225
147	0.4385782504
148	0.4384742139
149	0.4383583947
150	0.4383311504
151	0.438259848
152	0.4382278801
153	0.4381745969
154	0.4381745798
155	0.4380231865
156	0.4375392803
157	0.435804471
158	0.4347529434
159	0.4337930754
160	0.4337930368
161	0.4336646776
162	0.4334213757
163	0.432640576
164	0.4324864028
165	0.4316748592
166	0.430548858
167	0.4299904673
168	0.4299590669
169	0.4299219038
170	0.4298628118
171	0.4296143103
172	0.4290039046
173	0.4276214726
174	0.4267753259
175	0.4267753257
176	0.4246841779
177	0.4241878607
178	0.423874826
179	0.4238172282
180	0.4228860167
181	0.4228859941
182	0.4223961764
183	0.4218950151
184	0.4218950115
185	0.4218850556
186	0.4217415696
187	0.421465455
188	0.4214654458
189	0.421465441
190	0.4212889867
191	0.4212844222
192	0.421192314
193	0.4210520021
194	0.4199857521
195	0.4199857495
196	0.4199857488
197	0.419510411
198	0.4188829129
199	0.4187499822
200	0.4187499821
201	0.4185516318
202	0.418153304
203	0.4178409044
204	0.4175152768
205	0.4174176173
206	0.4174176173
207	0.4172017381
208	0.4164997892
209	0.4164963205
210	0.4157788474
211	0.4157788467
212	0.4157484439
213	0.4157096204
214	0.4152127365
215	0.4148219677
216	0.4146814164
